"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1578","Тест добавления товаров в корзину","","Sun May 25 14:41:47 GMT 2025","passed","Sun May 25 14:41:49 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
"","11809","Тест авторизации (сломанный)","","Sun May 25 14:41:35 GMT 2025","passed","Sun May 25 14:41:47 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","2110","Тест оформления заказа","","Sun May 25 14:41:49 GMT 2025","passed","Sun May 25 14:41:51 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
