"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1644","Тест добавления товаров в корзину","","Sun May 25 15:02:14 GMT 2025","passed","Sun May 25 15:02:16 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
"","11958","Тест авторизации (сломанный)","","Sun May 25 15:02:02 GMT 2025","passed","Sun May 25 15:02:14 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","2047","Тест оформления заказа","","Sun May 25 15:02:16 GMT 2025","passed","Sun May 25 15:02:18 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
