"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17976","Тест авторизации","","Sun May 25 16:04:55 GMT 2025","passed","Sun May 25 16:05:13 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","6303","Тест оформления заказа (сломанный)","","Sun May 25 16:05:14 GMT 2025","failed","Sun May 25 16:05:20 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
"","1316","Тест добавления товаров в корзину","","Sun May 25 16:05:13 GMT 2025","passed","Sun May 25 16:05:14 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
