"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13758","Тест авторизации","","Sun May 25 16:10:19 GMT 2025","passed","Sun May 25 16:10:33 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","14288","Тест добавления товаров в корзину","","Sun May 25 16:10:19 GMT 2025","passed","Sun May 25 16:10:33 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
"","19199","Тест оформления заказа (сломанный)","","Sun May 25 16:10:19 GMT 2025","failed","Sun May 25 16:10:38 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
