"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17354","Тест добавления товаров в корзину","","Sun May 25 16:26:27 GMT 2025","passed","Sun May 25 16:26:44 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
"","16844","Тест авторизации","","Sun May 25 16:26:27 GMT 2025","passed","Sun May 25 16:26:44 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","22160","Тест оформления заказа (сломанный)","","Sun May 25 16:26:27 GMT 2025","failed","Sun May 25 16:26:49 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
