"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11398","Тест авторизации","","Sun May 25 14:23:25 GMT 2025","passed","Sun May 25 14:23:37 GMT 2025","","tests.Tests","tests.Tests","successLoginTest"
"","1989","Тест оформления заказа","","Sun May 25 14:23:38 GMT 2025","passed","Sun May 25 14:23:40 GMT 2025","","tests.Tests","tests.Tests","successOrderTest"
"","1399","Тест добавления товаров в корзину","","Sun May 25 14:23:37 GMT 2025","passed","Sun May 25 14:23:38 GMT 2025","","tests.Tests","tests.Tests","successAddProductsToCartTest"
